name	rating	date	title	up_vote	down_vote
Vesper Martini	还行	2020-09-01 12:58:05	3星给战争场景	1	1
Kathy	还行	2020-08-29 13:53:34	嗯	1	
邪恶到底	推荐	2020-08-26 00:34:24	八佰中的空间建构	3	1
鉴湖无恙	推荐	2020-08-25 15:56:30	八佰（不想取小标题）	1	1
客愁新	还行	2020-08-24 17:15:16	战争片就不能踏踏实实的拍一部战争片吗？	4	1
小太爷。	力荐	2020-08-24 10:45:03	还抗日名将孙元良一个清白	11	
Jim's Bean	推荐	2020-08-23 22:48:38	一些细节：被掩盖的线索	2	2
nin	较差	2020-08-23 10:56:57	泄气的剧本与油滑的动机	9	1
卢玥潼	推荐	2020-08-22 21:08:33	从抗日到抗疫，我们从来没变过	2	3
Cstkilo329	推荐	2020-08-22 18:18:26	场面优秀，把控不足	2	2
江湖骗子管江湖骗子	还行	2020-08-22 10:12:41	前半段精彩，后半段拉胯	7	2
Steven	还行	2020-08-22 10:06:43	导演努力了，剧本渣依然是最大问题。	8	1
编号α－6500	力荐	2020-08-21 23:10:08	苏州河旁的决战	3	4
盒饭君	力荐	2020-08-21 21:29:39	只有我一个人逃脱来给您报信	6	1
jie	推荐	2020-08-21 21:12:43	致敬八佰		2
雨墨	力荐	2020-08-21 20:36:08	《八佰》，英雄	2	1
老KK影	力荐	2020-08-21 20:20:57	三刷《八佰》	3	4
入江之树	推荐	2020-08-20 20:08:04	八佰 | 商女且知亡国恨，隔江应唱赵子龙	4	2
侯晓林	推荐	2020-08-20 07:16:26	《八佰》：败也管虎，成也管虎	4	1
水御龙神	推荐	2020-08-19 01:02:56	割裂的上海	2	3
翡冷翠	还行	2020-08-18 21:31:09	民族意识	2	1
KidCoolAF	推荐	2020-08-17 17:09:32	被时代裹挟的平民英雄	6	3
晓得不	力荐	2020-08-17 11:12:50	资深电影人祁海先生：评《八佰》并议电影批评	132	9
老KK影	力荐	2020-08-16 10:39:48	明天激麦《八佰》之前科普一下，也给电影打个分	4	3
小崔	推荐	2020-08-15 13:15:37	前互联网时代的一场直播	7	4
porcos	推荐	2020-08-15 01:02:23	不是八百，是八佰	13	9
法棍老人	推荐	2020-08-14 23:37:43	我的心情很复杂	6	3
唐乐	力荐	2020-08-14 16:46:27	一部用强烈的对比来轰炸我们内心的佳作	15	10
影评匠	还行	2020-08-04 20:00:13	评管虎新作《八佰》：若他试图洗白别人，后果必将是抹黑自己	35	24
浮生有戏	力荐	2020-09-11 03:38:17	《八佰》：一场败仗，值不值得回顾	2	
聆 将其善	推荐	2020-09-10 19:46:51	电影《八佰》影评	3	
住在海底世界	力荐	2020-09-09 13:28:40	四行仓库与巴甫洛夫大楼	2	
Dr.13	推荐	2020-09-09 00:02:52	《八佰》中情节对情感表达的效果	1	
潜意识	推荐	2020-09-08 11:18:37	好吧，现在静下心来吐槽一下这部电影。	3	
Mahakassapa	力荐	2020-09-07 10:37:15	八佰给我的一些回忆	1	
太阳	很差	2020-09-06 23:52:28	这就是你们喜欢的八佰？	5	
侧风	很差	2020-09-02 11:00:18	小想法	5	
麦琪土司	推荐	2020-08-30 23:17:36	说两点自己的理解	2	1
厄庇墨透斯	还行	2020-08-28 23:05:38	看戏的最无情	1	2
九千年老鳏夫	力荐	2020-08-28 14:22:07	八佰：罢·摆——曲罢群豪起，戏摆万世思	1	1
表姐电影	推荐	2020-08-26 11:11:55	是时候聊一聊《八佰》了	1	1
聆雨子	推荐	2020-08-24 17:21:31	《八佰》：意义，感性，银幕内外的观看叠加	4	1
most of it	力荐	2020-08-24 00:20:05	一边是天堂 一边是坟场 生门和地狱 你要选哪个	1	3
别给懒惰找借口	较差	2020-08-23 11:08:59	让历史回到历史学，让艺术回到人	11	2
云城	推荐	2020-08-21 04:03:50	《八佰》：这片子拍“烂”还真不是审查的锅	11	2
秘则为花	推荐	2020-08-20 08:08:11	游击战与城市战：一种新的民族主义影像	14	3
一树红花照碧海	力荐	2020-08-19 01:50:44	八佰  答问	1	4
山涧漱河寺	还行	2020-08-17 22:43:18	管虎的潜在视角	3	1
家硕	还行	2020-08-16 16:29:11	还没有同是讲淞沪会战的捍卫者好看	8	3
朔风_想吃锅贴	还行	2020-08-16 15:01:07	拧巴，救场和内核缺失	11	3
野兽&蔷薇	还行	2020-08-16 03:28:13	优秀的电影结合操蛋的事实，感觉让人拧巴。爱之深恨之切！（一点史实仅供参考）	9	1
朱古力	推荐	2020-08-16 00:38:16	八佰：惨烈悲痛，热血燃魂		2
来发	很差	2020-08-15 18:49:59	就这？	22	8
阳弘	力荐	2020-08-15 16:05:20	从观影体验谈《八佰》	4	6
通米	力荐	2020-08-15 13:49:21	八佰：战争的背后都是政治，政治是背后是什么？	3	3
朱古力	推荐	2020-08-15 03:29:03	燃烧，惨烈，痛哭，不满足	2	2
Anz'	力荐	2020-08-15 00:54:26	若国人皆如此，日军何敢？	6	4
you洛维奇	推荐	2020-08-15 00:15:21	怎么死与怎么活的问题	2	3
火光烛迹	力荐	2020-08-15 00:13:25	这是我看过最好的战争片之一！！	10	9
lawrence	力荐	2020-09-26 03:06:24	关于国军抗日战争的一段真实历史-《八佰》观后感	1	
寻风鹤	推荐	2020-09-26 00:15:26	泪目		
